,x,y
0,-20.0,-27994.34443579924
1,-19.0,-22579.741020849386
2,-18.0,-20561.6105934149
3,-17.0,-14974.562543450955
4,-16.0,-15043.330580863269
5,-15.0,-12629.778661698201
6,-14.0,-7752.8103355320145
7,-13.0,-8080.010681526361
8,-12.0,-6336.718528159163
9,-11.0,-3402.793486229056
10,-10.0,-1735.040533671303
11,-9.0,-3701.7762742957266
12,-8.0,-3338.186761308966
13,-7.0,-2341.8614138793764
14,-6.0,-1963.8303474682832
15,-5.0,-663.590623507998
16,-4.0,20.04968822154177
17,-3.0,5544.596390207774
18,-2.0,-524.2751178466536
19,-1.0,-862.1760030043253
20,0.0,1981.5147681034252
21,1.0,-1692.5087064953818
22,2.0,-1072.9082376486488
23,3.0,-1194.8957316880922
24,4.0,1996.9605197786443
25,5.0,8055.569694349447
26,6.0,1147.66926186325
27,7.0,1091.9363357492145
28,8.0,2661.37901938277
29,9.0,2026.0581880961595
30,10.0,4292.950681759997
31,11.0,4552.6119628302695
32,12.0,8126.111552791991
33,13.0,8135.971806858057
34,14.0,9775.434690455864
35,15.0,10671.990609563594
36,16.0,8116.496514061813
37,17.0,18641.423726046985
38,18.0,19783.8858558715
39,19.0,23797.463765334713
